school_code,candidate_code,lw_code,promotion_to_full_professor,candidate_discipline_cip_category_as_numeric,candidate_discipline_stem_status_sbs_included,candidate_urm_num,candidate_gender_num,gender_by_urm_candidate,woman_urm_candidate_num,h_index_at_pt_standardized,number_of_external_grantsawarded_as_the_pi,years_in_present_rank,department_negative_vote_percentage,college_committee_negative_vote_percentage,department_unanimous_vote_abstentions_excluded,college_committee_unanimous_vote_abstentions_excluded,provost_vote,scholarship,tone,clout,authentic,analytic
4,400314,400314b,1,U,1,0,1,Woman non-URM,0,-0.334878729,7,5,0,0,1,1,1,0.12,72.1,65.35,4.81,78.83
4,400314,400314c,1,U,1,0,1,Woman non-URM,0,-0.334878729,7,5,0,0,1,1,1,0,65.42,71.86,3.56,87.94
4,400315,400315a,1,AE,0,,1,,,,,1,0,0,1,1,1,0,54.7,46.79,34.76,79.06
4,400315,400315b,1,AE,0,,1,,,,,1,0,0,1,1,1,0,52.78,57.44,10.66,85.24
4,400315,400315c,1,AE,0,,1,,,,,1,0,0,1,1,1,0,93.39,62.69,6.19,78.03
4,400315,400315d,1,AE,0,,1,,,,,1,0,0,1,1,1,0.04,47.21,51.74,26.66,93.07
4,400315,400315e,1,AE,0,,1,,,,,1,0,0,1,1,1,0,66.99,60.78,14.9,65.72
4,400315,400315f,1,AE,0,,1,,,,,1,0,0,1,1,1,0.08,50.31,44.41,25.32,83.57
4,400315,400315g,1,AE,0,,1,,,,,1,0,0,1,1,1,0,35.85,53.18,5.57,56.02
4,400316,400316a,0,E,1,0,0,Man non-URM,0,0.637574307,6,5,0.125,0,0,1,1,0,68.39,66.55,5.25,96.7
4,400316,400316b,0,E,1,0,0,Man non-URM,0,0.637574307,6,5,0.125,0,0,1,1,0,20.23,40.06,1,89.52
4,400316,400316c,0,E,1,0,0,Man non-URM,0,0.637574307,6,5,0.125,0,0,1,1,0.54,85.87,51.31,16.73,85.81
4,400316,400316d,0,E,1,0,0,Man non-URM,0,0.637574307,6,5,0.125,0,0,1,1,0,20.23,40.06,1,89.52
4,400316,400316e,0,E,1,0,0,Man non-URM,0,0.637574307,6,5,0.125,0,0,1,1,0,20.23,40.06,1,96.51
4,400316,400316f,0,E,1,0,0,Man non-URM,0,0.637574307,6,5,0.125,0,0,1,1,0,20.23,40.06,1,99
