school_code,candidate_code,lw_code,promotion_to_full_professor,candidate_discipline_cip_category_as_numeric,candidate_discipline_stem_status_sbs_included,candidate_urm_num,candidate_gender_num,gender_by_urm_candidate,woman_urm_candidate_num,h_index_at_pt_standardized,number_of_external_grantsawarded_as_the_pi,years_in_present_rank,department_negative_vote_percentage,college_committee_negative_vote_percentage,department_unanimous_vote_abstentions_excluded,college_committee_unanimous_vote_abstentions_excluded,provost_vote,scholarship,tone,clout,authentic,analytic
4,400384,400384c,0,E,1,0,0,Man non-URM,0,0.054102486,4,5,0,0,1,1,1,0,83.47,46.28,12.73,86.35
4,400385,400385a,1,T,1,0,0,Man non-URM,0,1.415536735,16,4,0,0,1,1,1,0.39,49.91,55.08,10.61,80.06
4,400385,400385b,1,T,1,0,0,Man non-URM,0,1.415536735,16,4,0,0,1,1,1,0.15,81.12,45.07,28.56,79.34
4,400385,400385c,1,T,1,0,0,Man non-URM,0,1.415536735,16,4,0,0,1,1,1,0.47,60.52,52.58,17.34,89.52
4,400385,400385d,1,T,1,0,0,Man non-URM,0,1.415536735,16,4,0,0,1,1,1,0.44,57.17,72.36,7.52,74.97
4,400385,400385e,1,T,1,0,0,Man non-URM,0,1.415536735,16,4,0,0,1,1,1,0.08,34.4,50.56,11.5,91.35
4,400385,400385f,1,T,1,0,0,Man non-URM,0,1.415536735,16,4,0,0,1,1,1,0.22,94.32,62.96,8.34,61.18
4,400386,400386a,0,AG,0,0,0,Man non-URM,0,0.054102486,,6,0,0,1,1,1,0.64,63.62,57.74,17.28,84.11
4,400386,400386b,0,AG,0,0,0,Man non-URM,0,0.054102486,,6,0,0,1,1,1,0,53.03,64.38,7.61,83.92
4,400386,400386c,0,AG,0,0,0,Man non-URM,0,0.054102486,,6,0,0,1,1,1,0.38,60.36,61.31,3.94,81
4,400386,400386d,0,AG,0,0,0,Man non-URM,0,0.054102486,,6,0,0,1,1,1,0.18,37.6,44.83,21.48,91.94
4,400387,400387a,0,H,0,0,0,Man non-URM,0,-0.626614639,,5,0,,1,,1,0.35,83.39,43.14,6.59,58.18
4,400387,400387b,0,H,0,0,0,Man non-URM,0,-0.626614639,,5,0,,1,,1,0.46,57.61,58.63,18.34,76.48
4,400387,400387c,0,H,0,0,0,Man non-URM,0,-0.626614639,,5,0,,1,,1,0.45,47.19,53.87,13.02,84.93
4,400387,400387d,0,H,0,0,0,Man non-URM,0,-0.626614639,,5,0,,1,,1,0,40,58.37,23.53,71.72
4,400387,400387e,0,H,0,0,0,Man non-URM,0,-0.626614639,,5,0,,1,,1,0.12,56.76,36.03,23.57,85.35
4,400387,400387f,0,H,0,0,0,Man non-URM,0,-0.626614639,,5,0,,1,,1,0.84,59.9,50.09,17.62,92.72
